,wrapperType,artistId,collectionId,artistName,collectionName,collectionCensoredName,artistViewUrl,collectionViewUrl,artworkUrl60,artworkUrl100,collectionPrice,collectionExplicitness,trackCount,country,currency,releaseDate,primaryGenreName,previewUrl,description,copyright,kind,trackId,trackName,trackCensoredName,trackViewUrl,artworkUrl30,trackPrice,trackExplicitness,discCount,discNumber,trackNumber,trackTimeMillis,isStreamable,collectionArtistId,collectionArtistViewUrl,trackRentalPrice,collectionHdPrice,trackHdPrice,trackHdRentalPrice,contentAdvisoryRating,shortDescription,longDescription,hasITunesExtras,collectionArtistName,amgArtistId
0,audiobook,160778930.0,1439484338.0,Bob Spitz,The Beatles (Abridged),The Beatles (Abridged),https://books.apple.com/us/author/bob-spitz/id160778930?uo=4,https://books.apple.com/us/audiobook/the-beatles-abridged/id1439484338?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/69/b8/65/69b86591-ce4b-9bd0-ab71-3808d0ea06dc/9780743552455.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/69/b8/65/69b86591-ce4b-9bd0-ab71-3808d0ea06dc/9780743552455.jpg/100x100bb.jpg,16.99,notExplicit,1.0,USA,USD,2005-11-01T08:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/8a/3b/60/8a3b60b6-8b98-ec66-4193-2410ade915b6/mzaf_3719604921631393408.std.aac.p.m4a,"<b>2007 Audie Award Winner for Non-Fiction, Abridged</b><br /><br />Even before the Beatles hit the big time, a myth was created. This version of the Beatles legend smoothed the rough edges and filled in the fault lines, and for more than forty years this manicured version of the Beatles story has sustained as truth -- until now.<br /> The product of almost a decade of research, hundreds of unprecedented interviews, and the discovery of scores of never-before-revealed documents, Bob Spitz's <i>The Beatles</i> is the biography fans have been waiting for.<br /> Never before has a biography of musicians been so immersive and textured. We are there in the McCartney living room when Paul and John learn to write songs together; backstage the night Ringo takes over on drums; in seedy German strip clubs where George lies about his age so the band can perform; and at the <i>Ed Sullivan Show</i> as America discovers the joy and the madness. From Shea to San Francisco, through the London night, on to India, through marmalade skies, across the universe-all the way to a rooftop concert and one last moment of laughter and music.<br /> It is all here, the highs and the lows, the love and the rivalry, the drugs, the tears, the thrill, the magic never again to be repeated. Bob Spitz's masterpiece is, at long last, the biography the Beatles deserve.",,,,,,,,,,,,,,,,,,,,,,,,,,
1,audiobook,2037074.0,1646008816.0,Hunter Davies,The Beatles,The Beatles,https://books.apple.com/us/author/hunter-davies/id2037074?uo=4,https://books.apple.com/us/audiobook/the-beatles/id1646008816?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/a9/d4/1d/a9d41dc7-12e1-c377-71fe-019d4d5116d2/2350-square.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/a9/d4/1d/a9d41dc7-12e1-c377-71fe-019d4d5116d2/2350-square.jpg/100x100bb.jpg,19.99,notExplicit,1.0,USA,USD,1999-02-01T08:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/cb/e1/0e/cbe10e4c-f201-18ef-55d5-069c6b4fcca1/mzaf_14191771216598309057.std.aac.p.m4a,"This worldwide bestseller is the biography that defined a band—and an era.<br /><br />As the friend and only authorized biographer of the most famous musical group in history, Davies had full access to the Beatles—including their family, friends, and colleauges—as well as their help and encouragement in writing this biography. He spent eighteen months with them when they were at the peak of their musical genius and the pinnacle of their popularity, making a mark on history and popular culture that would never fade. Davies stayed on with the Beatles through their breakup and remained friends with the individual members afterwards, enabling him to write the continuing story of their solo careers.<br /><br />First published in 1968, this newly revised edition has added information, including a new introduction and a newly discovered song lyric by George Harrison.","© 1998 by Blackstone Audio, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,
2,track,157458.0,282495289.0,Daniel Johnston,Yip! Jump Music,Yip! Jump Music,https://music.apple.com/us/artist/daniel-johnston/157458?uo=4,https://music.apple.com/us/album/the-beatles/282495289?i=282495296&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music/c7/24/19/mzi.hsrvxuky.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/c7/24/19/mzi.hsrvxuky.jpg/100x100bb.jpg,9.99,notExplicit,20.0,USA,USD,1983-05-01T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e6/81/31/e68131e4-2889-d027-d1e2-6755e56fd434/mzaf_13627254640725098082.plus.aac.p.m4a,,,song,282495296.0,The Beatles,The Beatles,https://music.apple.com/us/album/the-beatles/282495289?i=282495296&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music/c7/24/19/mzi.hsrvxuky.jpg/30x30bb.jpg,0.99,notExplicit,1.0,1.0,2.0,145453.0,True,,,,,,,,,,,,
3,track,,1603376178.0,Joachim Rønning & Espen Sandberg,Pirates of the Caribbean 5 Movie Collection,Pirates of the Caribbean 5 Movie Collection,,https://itunes.apple.com/us/movie/pirates-of-the-caribbean-dead-men-tell-no-tales/id1237438304?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Video128/v4/ef/10/bc/ef10bc9d-da6e-1c91-8373-85102511cb45/pr_source.lsr/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Video128/v4/ef/10/bc/ef10bc9d-da6e-1c91-8373-85102511cb45/pr_source.lsr/100x100bb.jpg,19.99,notExplicit,5.0,USA,USD,2017-05-26T07:00:00Z,Action & Adventure,https://video-ssl.itunes.apple.com/itunes-assets/Video127/v4/53/9d/31/539d312d-83c1-78f1-6fee-9f2f8866a740/mzvf_6396899992763116236.640x356.h264lc.U.p.m4v,,,feature-movie,1237438304.0,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,https://itunes.apple.com/us/movie/pirates-of-the-caribbean-dead-men-tell-no-tales/id1237438304?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Video128/v4/ef/10/bc/ef10bc9d-da6e-1c91-8373-85102511cb45/pr_source.lsr/30x30bb.jpg,19.99,notExplicit,1.0,1.0,5.0,7785485.0,,410641764.0,https://itunes.apple.com/us/artist/buena-vista-home-entertainment-inc/410641764?uo=4,3.99,19.99,19.99,3.99,PG-13,"Thrust into an all-new adventure, a down-on-his luck Captain Jack Sparrow finds the winds of ill","Thrust into an adventure, a down-on-his luck Captain Jack Sparrow finds the winds of ill fortune blowing even more strongly when a crew of deadly ghost pirates led by an old rival, the terrifying Captain Salazar, escape from the Devil’s Triangle, determined to kill every pirate at sea...including him. His only hope of survival lies in finding the legendary Trident of Poseidon, a powerful artifact that gives its possessor total control of the seas.",True,,
4,audiobook,511539599.0,511539450.0,Michael R. Frontani,The Beatles: Image and the Media (Unabridged),The Beatles: Image and the Media (Unabridged),https://books.apple.com/us/author/michael-r-frontani/id511539599?uo=4,https://books.apple.com/us/audiobook/the-beatles-image-and-the-media-unabridged/id511539450?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/d5/42/d3/d542d37d-7227-66b0-a778-899148626619/cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/d5/42/d3/d542d37d-7227-66b0-a778-899148626619/cover.jpg/100x100bb.jpg,17.99,notExplicit,1.0,USA,USD,2012-03-16T07:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/5d/65/1a/5d651a9d-82be-5274-9163-8cf8cdbe8b7e/mzaf_5114064751381112440.std.aac.p.m4a,"<i>The Beatles: Image and the Media</i> charts the transformation of the Beatles from teen idols to leaders of the youth movement and powerful cultural agents. Drawing upon American mainstream print media, broadcasts, albums, films, and videos, the study covers the band's career in the United States. Michael R. Frontani explores how the Beatles' media image evolved and how this transformation related to cultural and historical events. <br /><br />Upon their arrival in the U.S., the Beatles wore sharply tailored suits and cast themselves as adorable, accessible teen heartthrobs. By the end of the decade, they had absorbed the fashion and consciousness of the burgeoning counterculture and were using their interviews, media events, and music to comment on issues such as the Vietnam War, drug culture, and civil rights. Frontani traces the steps that led to this change and comments on how the band's mantra of essential optimism never wavered despite the evolution of its media profile. The book is published by University Press of Mississippi. <br /><br />Michael R. Frontani is associate professor of communications at Elon University. His work has appeared in <i>American Journalism</i>, <i>Journal of American Culture</i>, <i>Journalism History</i>, and <i>African Studies Review</i>.",© 2012 University Press Audiobooks,,,,,,,,,,,,,,,,,,,,,,,,,
5,track,5621730.0,1025317255.0,Devendra Banhart,Cripple Crow,Cripple Crow,https://music.apple.com/us/artist/devendra-banhart/5621730?uo=4,https://music.apple.com/us/album/the-beatles/1025317255?i=1025317599&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7c/6c/1d/7c6c1d7b-2f32-2c40-7fa1-a9dc1482c53f/634904019204.png/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7c/6c/1d/7c6c1d7b-2f32-2c40-7fa1-a9dc1482c53f/634904019204.png/100x100bb.jpg,9.99,notExplicit,22.0,USA,USD,2005-09-12T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/44/c1/98/44c198a8-2a9c-dea6-d575-36141138edd6/mzaf_1061800412585949492.plus.aac.p.m4a,,,song,1025317599.0,The Beatles,The Beatles,https://music.apple.com/us/album/the-beatles/1025317255?i=1025317599&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7c/6c/1d/7c6c1d7b-2f32-2c40-7fa1-a9dc1482c53f/634904019204.png/30x30bb.jpg,1.29,notExplicit,1.0,1.0,10.0,104413.0,True,,,,,,,,,,,,
6,audiobook,125377525.0,189222494.0,N.N.,The Beatles - I want to hold your hand: Pop-Splits,The Beatles - I want to hold your hand: Pop-Splits,https://books.apple.com/us/author/n-n/id125377525?uo=4,https://books.apple.com/us/audiobook/the-beatles-i-want-to-hold-your-hand-pop-splits/id189222494?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/15/d8/d2/15d8d240-d232-c02c-1926-2fcab33da76e/rm_image.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/15/d8/d2/15d8d240-d232-c02c-1926-2fcab33da76e/rm_image.jpg/100x100bb.jpg,1.99,notExplicit,1.0,USA,USD,2006-09-05T07:00:00Z,Nonfiction,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/47/b5/8e/47b58ee5-e6e4-04da-35b7-aca557f69f5c/mzaf_4114904369302677830.std.aac.p.m4a,"Dieser Popsplit handelt von dem Beatles-Song ""I want to hold your hand"" und davon, wie Bob Dylan den Beatles das Kiffen beibrachte...<br />Der Titel ist Teil des Pop-Splits ""Lust for Life -- 21 Geschichten zu Sex, Drugs &amp; Rock'n' Roll"".",© 2006 der apparat multimedia gmbh,,,,,,,,,,,,,,,,,,,,,,,,,
7,track,27068619.0,390798460.0,Shy Child,Liquid Love,Liquid Love,https://music.apple.com/us/artist/shy-child/27068619?uo=4,https://music.apple.com/us/album/the-beatles/390798460?i=390798510&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music/94/e7/6a/mzi.iwoudban.tif/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/94/e7/6a/mzi.iwoudban.tif/100x100bb.jpg,6.99,notExplicit,11.0,USA,USD,2010-03-15T12:00:00Z,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a8/41/60/a841604e-ae62-6ab3-c818-90af7bd1fde5/mzaf_7049348694798606016.plus.aac.p.m4a,,,song,390798510.0,The Beatles,The Beatles,https://music.apple.com/us/album/the-beatles/390798460?i=390798510&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music/94/e7/6a/mzi.iwoudban.tif/30x30bb.jpg,0.99,notExplicit,1.0,1.0,5.0,264200.0,True,,,,,,,,,,,,
8,audiobook,4416594.0,1684902737.0,"John Lennon, Paul McCartney & George Harrison",The Beatles: The Interviews,The Beatles: The Interviews,https://music.apple.com/us/artist/john-lennon/4416594?uo=4,https://books.apple.com/us/audiobook/the-beatles-the-interviews/id1684902737?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d7/54/33/d75433d3-5d21-f3d8-8c5c-153a47feeb9c/9781789322866.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d7/54/33/d75433d3-5d21-f3d8-8c5c-153a47feeb9c/9781789322866.jpg/100x100bb.jpg,3.99,notExplicit,1.0,USA,USD,2023-06-06T07:00:00Z,Nonfiction,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cb/fc/96/cbfc9624-7724-236b-7cf5-cf9efcfc2542/mzaf_13493701566945974729.std.aac.p.m4a,"A fantastic, entertaining collection of radio interviews from world famous band the Beatles' June 1946 tour of the ""Down Under"" - Australia and New Zealand.",© 2023 One Media iP Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
9,track,,,Akiva Schaffer & Jorma Taccone,,,,,https://is1-ssl.mzstatic.com/image/thumb/Video20/v4/c6/7b/4b/c67b4be8-0e76-c502-508b-9c5b95a060f8/pr_source.lsr/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Video20/v4/c6/7b/4b/c67b4be8-0e76-c502-508b-9c5b95a060f8/pr_source.lsr/100x100bb.jpg,14.99,notExplicit,,USA,USD,2016-06-03T07:00:00Z,Comedy,https://video-ssl.itunes.apple.com/itunes-assets/Video82/v4/a0/0f/a1/a00fa1d8-ac22-1d47-5040-571bfa281707/mzvf_5615420441975685039.640x354.h264lc.U.p.m4v,,,feature-movie,1113248686.0,Popstar: Never Stop Never Stopping,Popstar: Never Stop Never Stopping,https://itunes.apple.com/us/movie/popstar-never-stop-never-stopping/id1113248686?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Video20/v4/c6/7b/4b/c67b4be8-0e76-c502-508b-9c5b95a060f8/pr_source.lsr/30x30bb.jpg,14.99,notExplicit,,,,5190482.0,,,,3.99,14.99,14.99,3.99,R,"After a two-year, sold-out, worldwide tour, Conner4Real (Andy Samberg) is the biggest name in music","After a two-year, sold-out, worldwide tour, Conner4Real (Andy Samberg) is the biggest name in music. Go behind the scenes as Conner faces a crisis of popularity after this sophomore album flops, leaving fans, sycophants and rivals all wondering what to do when Conner4Real is no longer the dopest star of all. The hilarious comedy from blockbuster producer Judd Apatow (Trainwreck, Superbad, Knocked Up) and digital short superstars, The Lonely Island, is loaded with cameos from the biggest names in comedy and music.",True,,
10,audiobook,2065398.0,1577202026.0,Geoffrey Giuliano,The Beatles: 50 Years (Unabridged),The Beatles: 50 Years (Unabridged),https://books.apple.com/us/author/geoffrey-giuliano/id2065398?uo=4,https://books.apple.com/us/audiobook/the-beatles-50-years-unabridged/id1577202026?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/29/0b/15/290b15ae-002a-c0e2-d043-8d3ca255d45c/rm_image.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/29/0b/15/290b15ae-002a-c0e2-d043-8d3ca255d45c/rm_image.jpg/100x100bb.jpg,4.99,notExplicit,1.0,USA,USD,2021-06-30T07:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/36/f7/48/36f74837-1f19-44a8-d7cf-fcade022e25b/mzaf_9684547846062066580.std.aac.p.m4a,"The Beatles, the most famous rock group in the world, continue to entertain, inspire, and even educate listeners to this very day. Here is their story as told by the people who knew them best, and of course, the Beatles themselves. A once-in-a-lifetime audio event.<br /><br />Production executive Avalon Giuliano in London<br /><br />ICON Intern Eden Giuliano in Delhi<br /><br />Music by AudioNautix with their kind permission",© 2021 Author's Republic,,,,,,,,,,,,,,,,,,,,,,,,,
11,audiobook,4416594.0,1684903099.0,"John Lennon, Paul McCartney & George Harrison",The Beatles: Around the World,The Beatles: Around the World,https://music.apple.com/us/artist/john-lennon/4416594?uo=4,https://books.apple.com/us/audiobook/the-beatles-around-the-world/id1684903099?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a0/3c/af/a03caf5d-59a9-b228-0b8a-3fade9428f22/9781789322842.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a0/3c/af/a03caf5d-59a9-b228-0b8a-3fade9428f22/9781789322842.jpg/100x100bb.jpg,3.99,notExplicit,1.0,USA,USD,2023-06-06T07:00:00Z,Nonfiction,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/0f/c6/38/0fc638e9-c8cc-581f-c722-66ab113dd390/mzaf_6987364502777018138.std.aac.p.m4a,"A collection of Beatles' interviews and promotional content from around the world, ranging from Doncaster to Indianapolis to the Bahamas, between 1963-1965.",© 2023 One Media iP Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
12,track,157458.0,284715166.0,Daniel Johnston,Lost and Found,Lost and Found,https://music.apple.com/us/artist/daniel-johnston/157458?uo=4,https://music.apple.com/us/album/the-beatles/284715166?i=284715205&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music/44/08/17/mzi.abwpkmbg.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/44/08/17/mzi.abwpkmbg.jpg/100x100bb.jpg,9.99,notExplicit,14.0,USA,USD,2006-04-18T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/93/c5/79/93c57982-4095-7513-9dae-83cbfa9676bd/mzaf_17451398475858913466.plus.aac.p.m4a,,,song,284715205.0,The Beatles,The Beatles,https://music.apple.com/us/album/the-beatles/284715166?i=284715205&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music/44/08/17/mzi.abwpkmbg.jpg/30x30bb.jpg,0.99,notExplicit,1.0,1.0,3.0,144600.0,True,,,,,,,,,,,,
13,track,329275.0,207315427.0,Joe Diffie,16 Biggest Hits: Joe Diffie,16 Biggest Hits: Joe Diffie,https://music.apple.com/us/artist/joe-diffie/329275?uo=4,https://music.apple.com/us/album/bigger-than-the-beatles/207315427?i=207316133&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/f7/69/95/f7699529-e7a5-6b5c-10b0-0f1299777f4e/dj.zeytwggc.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/f7/69/95/f7699529-e7a5-6b5c-10b0-0f1299777f4e/dj.zeytwggc.jpg/100x100bb.jpg,9.99,notExplicit,16.0,USA,USD,1995-11-27T08:00:00Z,Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5e/fc/99/5efc9994-9ef8-6ed4-ed09-946b9949cf37/mzaf_10395587702733332197.plus.aac.p.m4a,,,song,207316133.0,Bigger Than the Beatles,Bigger Than the Beatles,https://music.apple.com/us/album/bigger-than-the-beatles/207315427?i=207316133&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/f7/69/95/f7699529-e7a5-6b5c-10b0-0f1299777f4e/dj.zeytwggc.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,13.0,235427.0,True,,,,,,,,,,,,
